solution_policy_category,solution_intervention_category,solution_name,state,solution_diversion_potential_tons_2022
Recycling,Recycle Anything Remaining,Centralized Anaerobic Digestion,Alabama,78040
Recycling,Recycle Anything Remaining,Centralized Anaerobic Digestion,Alaska,10017
Recycling,Recycle Anything Remaining,Centralized Anaerobic Digestion,Arizona,132503
Recycling,Recycle Anything Remaining,Centralized Anaerobic Digestion,Arkansas,59718
Recycling,Recycle Anything Remaining,Centralized Anaerobic Digestion,California,579274
Recycling,Recycle Anything Remaining,Centralized Anaerobic Digestion,Colorado,109725
Recycling,Recycle Anything Remaining,Centralized Anaerobic Digestion,Connecticut,55066
Recycling,Recycle Anything Remaining,Centralized Anaerobic Digestion,Delaware,17044
Recycling,Recycle Anything Remaining,Centralized Anaerobic Digestion,Florida,418260
Recycling,Recycle Anything Remaining,Centralized Anaerobic Digestion,Georgia,177919
Recycling,Recycle Anything Remaining,Centralized Anaerobic Digestion,Hawaii,17423
Recycling,Recycle Anything Remaining,Centralized Anaerobic Digestion,Idaho,50252
Recycling,Recycle Anything Remaining,Centralized Anaerobic Digestion,Illinois,208534
Recycling,Recycle Anything Remaining,Centralized Anaerobic Digestion,Indiana,123490
Recycling,Recycle Anything Remaining,Centralized Anaerobic Digestion,Iowa,72386
Recycling,Recycle Anything Remaining,Centralized Anaerobic Digestion,Kansas,50921
Recycling,Recycle Anything Remaining,Centralized Anaerobic Digestion,Kentucky,80873
Recycling,Recycle Anything Remaining,Centralized Anaerobic Digestion,Louisiana,105743
Recycling,Recycle Anything Remaining,Centralized Anaerobic Digestion,Maine,28093
Recycling,Recycle Anything Remaining,Centralized Anaerobic Digestion,Maryland,93532
Recycling,Recycle Anything Remaining,Centralized Anaerobic Digestion,Massachusetts,119059
Recycling,Recycle Anything Remaining,Centralized Anaerobic Digestion,Michigan,165447
Recycling,Recycle Anything Remaining,Centralized Anaerobic Digestion,Minnesota,115760
Recycling,Recycle Anything Remaining,Centralized Anaerobic Digestion,Mississippi,47892
Recycling,Recycle Anything Remaining,Centralized Anaerobic Digestion,Missouri,109515
Recycling,Recycle Anything Remaining,Centralized Anaerobic Digestion,Montana,13542
Recycling,Recycle Anything Remaining,Centralized Anaerobic Digestion,Nebraska,37987
Recycling,Recycle Anything Remaining,Centralized Anaerobic Digestion,Nevada,55832
Recycling,Recycle Anything Remaining,Centralized Anaerobic Digestion,New Hampshire,30758
Recycling,Recycle Anything Remaining,Centralized Anaerobic Digestion,New Jersey,137102
Recycling,Recycle Anything Remaining,Centralized Anaerobic Digestion,New Mexico,38894
Recycling,Recycle Anything Remaining,Centralized Anaerobic Digestion,New York,234526
Recycling,Recycle Anything Remaining,Centralized Anaerobic Digestion,North Carolina,183373
Recycling,Recycle Anything Remaining,Centralized Anaerobic Digestion,North Dakota,24566
Recycling,Recycle Anything Remaining,Centralized Anaerobic Digestion,Ohio,200398
Recycling,Recycle Anything Remaining,Centralized Anaerobic Digestion,Oklahoma,60686
Recycling,Recycle Anything Remaining,Centralized Anaerobic Digestion,Oregon,75184
Recycling,Recycle Anything Remaining,Centralized Anaerobic Digestion,Pennsylvania,202307
Recycling,Recycle Anything Remaining,Centralized Anaerobic Digestion,Rhode Island,14521
Recycling,Recycle Anything Remaining,Centralized Anaerobic Digestion,South Carolina,87224
Recycling,Recycle Anything Remaining,Centralized Anaerobic Digestion,South Dakota,16877
Recycling,Recycle Anything Remaining,Centralized Anaerobic Digestion,Tennessee,127555
Recycling,Recycle Anything Remaining,Centralized Anaerobic Digestion,Texas,395255
Recycling,Recycle Anything Remaining,Centralized Anaerobic Digestion,Utah,50038
Recycling,Recycle Anything Remaining,Centralized Anaerobic Digestion,Vermont,11010
Recycling,Recycle Anything Remaining,Centralized Anaerobic Digestion,Virginia,153206
Recycling,Recycle Anything Remaining,Centralized Anaerobic Digestion,Washington,172770
Recycling,Recycle Anything Remaining,Centralized Anaerobic Digestion,West Virginia,27959
Recycling,Recycle Anything Remaining,Centralized Anaerobic Digestion,Wisconsin,189573
Recycling,Recycle Anything Remaining,Centralized Anaerobic Digestion,Wyoming,9669
Recycling,Recycle Anything Remaining,Centralized Composting,Alabama,228423
Recycling,Recycle Anything Remaining,Centralized Composting,Alaska,30155
Recycling,Recycle Anything Remaining,Centralized Composting,Arizona,398287
Recycling,Recycle Anything Remaining,Centralized Composting,Arkansas,177599
Recycling,Recycle Anything Remaining,Centralized Composting,California,1738826
Recycling,Recycle Anything Remaining,Centralized Composting,Colorado,333315
Recycling,Recycle Anything Remaining,Centralized Composting,Connecticut,164975
Recycling,Recycle Anything Remaining,Centralized Composting,Delaware,49828
Recycling,Recycle Anything Remaining,Centralized Composting,Florida,1234542
Recycling,Recycle Anything Remaining,Centralized Composting,Georgia,524528
Recycling,Recycle Anything Remaining,Centralized Composting,Hawaii,51515
Recycling,Recycle Anything Remaining,Centralized Composting,Idaho,152012
Recycling,Recycle Anything Remaining,Centralized Composting,Illinois,619334
Recycling,Recycle Anything Remaining,Centralized Composting,Indiana,368786
Recycling,Recycle Anything Remaining,Centralized Composting,Iowa,215544
Recycling,Recycle Anything Remaining,Centralized Composting,Kansas,153533
Recycling,Recycle Anything Remaining,Centralized Composting,Kentucky,242511
Recycling,Recycle Anything Remaining,Centralized Composting,Louisiana,307624
Recycling,Recycle Anything Remaining,Centralized Composting,Maine,85973
Recycling,Recycle Anything Remaining,Centralized Composting,Maryland,275401
Recycling,Recycle Anything Remaining,Centralized Composting,Massachusetts,359311
Recycling,Recycle Anything Remaining,Centralized Composting,Michigan,497454
Recycling,Recycle Anything Remaining,Centralized Composting,Minnesota,344802
Recycling,Recycle Anything Remaining,Centralized Composting,Mississippi,140228
Recycling,Recycle Anything Remaining,Centralized Composting,Missouri,326378
Recycling,Recycle Anything Remaining,Centralized Composting,Montana,41421
Recycling,Recycle Anything Remaining,Centralized Composting,Nebraska,114086
Recycling,Recycle Anything Remaining,Centralized Composting,Nevada,167385
Recycling,Recycle Anything Remaining,Centralized Composting,New Hampshire,93670
Recycling,Recycle Anything Remaining,Centralized Composting,New Jersey,405034
Recycling,Recycle Anything Remaining,Centralized Composting,New Mexico,115619
Recycling,Recycle Anything Remaining,Centralized Composting,New York,696824
