state,solution_policy_category,population_2021,population_2022,total_fw_tons_2021,total_fw_tons_2022,policy_score
AL,Prevention,5049846,5074296,1100735,918036,Negative
AL,Rescue,5049846,5074296,1100735,918036,Weak
AL,Animal Feed,5049846,5074296,1100735,918036,Negative
AL,Recycling,5049846,5074296,1100735,918036,None
AK,Prevention,734182,733583,135146,119604,Moderate
AK,Rescue,734182,733583,135146,119604,Moderate
AK,Animal Feed,734182,733583,135146,119604,Negative
AK,Recycling,734182,733583,135146,119604,None
AR,Prevention,7264877,7359197,885568,628779,Moderate
AR,Rescue,7264877,7359197,885568,628779,Weak
AR,Animal Feed,7264877,7359197,885568,628779,Negative
AR,Recycling,7264877,7359197,885568,628779,None
AZ,Prevention,3028122,3045637,2491171,1560824,Moderate
AZ,Rescue,3028122,3045637,2491171,1560824,Moderate
AZ,Animal Feed,3028122,3045637,2491171,1560824,Moderate
AZ,Recycling,3028122,3045637,2491171,1560824,None
CA,Prevention,39142991,39029342,13621898,5753594,Moderate
CA,Rescue,39142991,39029342,13621898,5753594,Strong
CA,Animal Feed,39142991,39029342,13621898,5753594,Moderate
CA,Recycling,39142991,39029342,13621898,5753594,Strong
CO,Prevention,5811297,5839926,1548109,1282741,Negative
CO,Rescue,5811297,5839926,1548109,1282741,Weak
CO,Animal Feed,5811297,5839926,1548109,1282741,Moderate
CO,Recycling,5811297,5839926,1548109,1282741,None
CT,Prevention,3623355,3626205,749580,642847,Moderate
CT,Rescue,3623355,3626205,749580,642847,Weak
CT,Animal Feed,3623355,3626205,749580,642847,Moderate
CT,Recycling,3623355,3626205,749580,642847,Moderate
DE,Prevention,1004807,1018396,265345,188948,Moderate
DE,Rescue,1004807,1018396,265345,188948,Weak
DE,Animal Feed,1004807,1018396,265345,188948,Negative
DE,Recycling,1004807,1018396,265345,188948,None
FL,Prevention,21828069,22244823,6445917,4840540,Negative
FL,Rescue,21828069,22244823,6445917,4840540,Weak
FL,Animal Feed,21828069,22244823,6445917,4840540,Moderate
FL,Recycling,21828069,22244823,6445917,4840540,None
GA,Prevention,10788029,10912876,2845545,2048554,Negative
GA,Rescue,10788029,10912876,2845545,2048554,Weak
